p,T,F,R,h,s,u,v
1.00000e+05,2.75000e+02,0.00000e+00,2.86960e+02,2.74823e+05,5.29231e+03,1.95909e+05,7.89140e-01 
1.00000e+05,2.75000e+02,1.00000e-01,2.86990e+02,2.75679e+05,5.61746e+03,1.96757e+05,7.89221e-01 
1.00000e+05,2.75000e+02,2.00000e-01,2.87018e+02,2.76524e+05,5.90078e+03,1.97594e+05,7.89299e-01 
1.00000e+05,2.75000e+02,3.00000e-01,2.87045e+02,2.77358e+05,6.14395e+03,1.98420e+05,7.89374e-01 
1.00000e+05,2.75000e+02,4.00000e-01,2.87071e+02,2.78180e+05,6.34857e+03,1.99235e+05,7.89447e-01 
1.00000e+05,2.75000e+02,5.00000e-01,2.87097e+02,2.78990e+05,6.51619e+03,2.00039e+05,7.89516e-01 
1.00000e+05,2.75000e+02,6.00000e-01,2.87121e+02,2.79790e+05,6.64830e+03,2.00832e+05,7.89582e-01 
1.00000e+05,2.75000e+02,7.00000e-01,2.87144e+02,2.80579e+05,6.74630e+03,2.01615e+05,7.89646e-01 
1.00000e+05,2.75000e+02,8.00000e-01,2.87166e+02,2.81358e+05,6.81158e+03,2.02387e+05,7.89708e-01 
1.00000e+05,2.75000e+02,9.00000e-01,2.87188e+02,2.82127e+05,6.84543e+03,2.03150e+05,7.89766e-01 
1.00000e+05,2.75000e+02,1.00000e+00,2.87208e+02,2.82885e+05,6.84910e+03,2.03903e+05,7.89822e-01 
1.00000e+05,2.75000e+02,1.10000e+00,2.87228e+02,2.83633e+05,6.82382e+03,2.04646e+05,7.89876e-01 
1.00000e+05,2.75000e+02,1.20000e+00,2.87246e+02,2.84372e+05,6.77073e+03,2.05379e+05,7.89927e-01 
1.00000e+05,3.75000e+02,0.00000e+00,2.87159e+02,3.75798e+05,5.60516e+03,2.68113e+05,1.07685e+00 
1.00000e+05,3.75000e+02,1.00000e-01,2.87209e+02,3.77308e+05,5.93237e+03,2.69605e+05,1.07703e+00 
1.00000e+05,3.75000e+02,2.00000e-01,2.87258e+02,3.78799e+05,6.21773e+03,2.71077e+05,1.07722e+00 
1.00000e+05,3.75000e+02,3.00000e-01,2.87305e+02,3.80270e+05,6.46291e+03,2.72530e+05,1.07740e+00 
1.00000e+05,3.75000e+02,4.00000e-01,2.87352e+02,3.81721e+05,6.66952e+03,2.73964e+05,1.07757e+00 
1.00000e+05,3.75000e+02,5.00000e-01,2.87399e+02,3.83154e+05,6.83911e+03,2.75380e+05,1.07775e+00 
1.00000e+05,3.75000e+02,6.00000e-01,2.87444e+02,3.84569e+05,6.97315e+03,2.76777e+05,1.07792e+00 
1.00000e+05,3.75000e+02,7.00000e-01,2.87489e+02,3.85965e+05,7.07307e+03,2.78157e+05,1.07808e+00 
1.00000e+05,3.75000e+02,8.00000e-01,2.87533e+02,3.87343e+05,7.14024e+03,2.79519e+05,1.07825e+00 
1.00000e+05,3.75000e+02,9.00000e-01,2.87576e+02,3.88705e+05,7.17596e+03,2.80864e+05,1.07841e+00 
1.00000e+05,3.75000e+02,1.00000e+00,2.87618e+02,3.90049e+05,7.18149e+03,2.82192e+05,1.07857e+00 
1.00000e+05,3.75000e+02,1.10000e+00,2.87660e+02,3.91376e+05,7.15803e+03,2.83503e+05,1.07873e+00 
1.00000e+05,3.75000e+02,1.20000e+00,2.87701e+02,3.92687e+05,7.10675e+03,2.84799e+05,1.07888e+00 
1.00000e+05,4.75000e+02,0.00000e+00,2.87221e+02,4.78066e+05,5.84690e+03,3.41636e+05,1.36430e+00 
1.00000e+05,4.75000e+02,1.00000e-01,2.87278e+02,4.80363e+05,6.17595e+03,3.43906e+05,1.36457e+00 
1.00000e+05,4.75000e+02,2.00000e-01,2.87334e+02,4.82630e+05,6.46313e+03,3.46146e+05,1.36484e+00 
1.00000e+05,4.75000e+02,3.00000e-01,2.87389e+02,4.84868e+05,6.71010e+03,3.48358e+05,1.36510e+00 
1.00000e+05,4.75000e+02,4.00000e-01,2.87444e+02,4.87076e+05,6.91848e+03,3.50540e+05,1.36536e+00 
1.00000e+05,4.75000e+02,5.00000e-01,2.87497e+02,4.89256e+05,7.08982e+03,3.52695e+05,1.36561e+00 
1.00000e+05,4.75000e+02,6.00000e-01,2.87550e+02,4.91408e+05,7.22559e+03,3.54822e+05,1.36586e+00 
1.00000e+05,4.75000e+02,7.00000e-01,2.87602e+02,4.93533e+05,7.32722e+03,3.56922e+05,1.36611e+00 
1.00000e+05,4.75000e+02,8.00000e-01,2.87653e+02,4.95631e+05,7.39607e+03,3.58996e+05,1.36635e+00 
1.00000e+05,4.75000e+02,9.00000e-01,2.87704e+02,4.97703e+05,7.43345e+03,3.61044e+05,1.36659e+00 
1.00000e+05,4.75000e+02,1.00000e+00,2.87754e+02,4.99749e+05,7.44062e+03,3.63066e+05,1.36683e+00 
1.00000e+05,4.75000e+02,1.10000e+00,2.87803e+02,5.01770e+05,7.41879e+03,3.65063e+05,1.36706e+00 
1.00000e+05,4.75000e+02,1.20000e+00,2.87851e+02,5.03766e+05,7.36910e+03,3.67036e+05,1.36729e+00 
1.10000e+06,2.75000e+02,0.00000e+00,2.85242e+02,2.72211e+05,4.59602e+03,1.93769e+05,7.13106e-02 
1.10000e+06,2.75000e+02,1.00000e-01,2.84931e+02,2.72826e+05,4.92048e+03,1.94470e+05,7.12327e-02 
1.10000e+06,2.75000e+02,2.00000e-01,2.84615e+02,2.73426e+05,5.20310e+03,1.95157e+05,7.11538e-02 
1.10000e+06,2.75000e+02,3.00000e-01,2.84296e+02,2.74011e+05,5.44556e+03,1.95830e+05,7.10740e-02 
1.10000e+06,2.75000e+02,4.00000e-01,2.83974e+02,2.74583e+05,5.64948e+03,1.96490e+05,7.09934e-02 
1.10000e+06,2.75000e+02,5.00000e-01,2.83648e+02,2.75140e+05,5.81639e+03,1.97137e+05,7.09119e-02 
1.10000e+06,2.75000e+02,6.00000e-01,2.83318e+02,2.75684e+05,5.94777e+03,1.97772e+05,7.08296e-02 
1.10000e+06,2.75000e+02,7.00000e-01,2.82986e+02,2.76215e+05,6.04505e+03,1.98394e+05,7.07465e-02 
1.10000e+06,2.75000e+02,8.00000e-01,2.82651e+02,2.76733e+05,6.10960e+03,1.99004e+05,7.06627e-02 
1.10000e+06,2.75000e+02,9.00000e-01,2.82313e+02,2.77238e+05,6.14271e+03,1.99602e+05,7.05781e-02 
1.10000e+06,2.75000e+02,1.00000e+00,2.81972e+02,2.77731e+05,6.14565e+03,2.00188e+05,7.04929e-02 
1.10000e+06,2.75000e+02,1.10000e+00,2.81628e+02,2.78211e+05,6.11962e+03,2.00763e+05,7.04070e-02 
1.10000e+06,2.75000e+02,1.20000e+00,2.81282e+02,2.78680e+05,6.06578e+03,2.01327e+05,7.03204e-02 
1.10000e+06,3.75000e+02,0.00000e+00,2.87435e+02,3.74383e+05,4.91260e+03,2.66595e+05,9.79892e-02 
1.10000e+06,3.75000e+02,1.00000e-01,2.87344e+02,3.75748e+05,5.23941e+03,2.67995e+05,9.79581e-02 
1.10000e+06,3.75000e+02,2.00000e-01,2.87252e+02,3.77093e+05,5.52437e+03,2.69374e+05,9.79267e-02 
1.10000e+06,3.75000e+02,3.00000e-01,2.87159e+02,3.78418e+05,5.76916e+03,2.70733e+05,9.78950e-02 
1.10000e+06,3.75000e+02,4.00000e-01,2.87065e+02,3.79723e+05,5.97537e+03,2.72074e+05,9.78629e-02 
1.10000e+06,3.75000e+02,5.00000e-01,2.86970e+02,3.81010e+05,6.14456e+03,2.73396e+05,9.78306e-02 
1.10000e+06,3.75000e+02,6.00000e-01,2.86874e+02,3.82277e+05,6.27821e+03,2.74699e+05,9.77981e-02 
1.10000e+06,3.75000e+02,7.00000e-01,2.86778e+02,3.83527e+05,6.37775e+03,2.75985e+05,9.77653e-02 
1.10000e+06,3.75000e+02,8.00000e-01,2.86681e+02,3.84758e+05,6.44452e+03,2.77253e+05,9.77322e-02 
1.10000e+06,3.75000e+02,9.00000e-01,2.86584e+02,3.85972e+05,6.47985e+03,2.78503e+05,9.76989e-02 
1.10000e+06,3.75000e+02,1.00000e+00,2.86485e+02,3.87169e+05,6.48499e+03,2.79737e+05,9.76654e-02 
1.10000e+06,3.75000e+02,1.10000e+00,2.86386e+02,3.88349e+05,6.46115e+03,2.80954e+05,9.76317e-02 
1.10000e+06,3.75000e+02,1.20000e+00,2.86287e+02,3.89512e+05,6.40948e+03,2.82154e+05,9.75979e-02 
1.10000e+06,4.75000e+02,0.00000e+00,2.88117e+02,4.77311e+05,5.15590e+03,3.40455e+05,1.24414e-01 
1.10000e+06,4.75000e+02,1.00000e-01,2.88105e+02,4.79507e+05,5.48466e+03,3.42657e+05,1.24409e-01 
1.10000e+06,4.75000e+02,2.00000e-01,2.88093e+02,4.81674e+05,5.77154e+03,3.44830e+05,1.24404e-01 
1.10000e+06,4.75000e+02,3.00000e-01,2.88080e+02,4.83812e+05,6.01822e+03,3.46974e+05,1.24398e-01 
1.10000e+06,4.75000e+02,4.00000e-01,2.88066e+02,4.85921e+05,6.22632e+03,3.49089e+05,1.24392e-01 
1.10000e+06,4.75000e+02,5.00000e-01,2.88052e+02,4.88001e+05,6.39737e+03,3.51177e+05,1.24386e-01 
1.10000e+06,4.75000e+02,6.00000e-01,2.88037e+02,4.90055e+05,6.53285e+03,3.53237e+05,1.24380e-01 
1.10000e+06,4.75000e+02,7.00000e-01,2.88022e+02,4.92081e+05,6.63420e+03,3.55271e+05,1.24373e-01 
1.10000e+06,4.75000e+02,8.00000e-01,2.88006e+02,4.94081e+05,6.70277e+03,3.57278e+05,1.24366e-01 
1.10000e+06,4.75000e+02,9.00000e-01,2.87990e+02,4.96054e+05,6.73988e+03,3.59259e+05,1.24359e-01 
1.10000e+06,4.75000e+02,1.00000e+00,2.87973e+02,4.98003e+05,6.74677e+03,3.61216e+05,1.24352e-01 
1.10000e+06,4.75000e+02,1.10000e+00,2.87955e+02,4.99926e+05,6.72467e+03,3.63147e+05,1.24344e-01 
1.10000e+06,4.75000e+02,1.20000e+00,2.87938e+02,5.01825e+05,6.67472e+03,3.65055e+05,1.24337e-01 
1.10000e+06,5.75000e+02,0.00000e+00,2.88341e+02,5.81673e+05,5.35555e+03,4.15877e+05,1.50724e-01 
1.10000e+06,5.75000e+02,1.00000e-01,2.88366e+02,5.84802e+05,5.68605e+03,4.18992e+05,1.50737e-01 
1.10000e+06,5.75000e+02,2.00000e-01,2.88390e+02,5.87889e+05,5.97466e+03,4.22065e+05,1.50749e-01 
1.10000e+06,5.75000e+02,3.00000e-01,2.88413e+02,5.90936e+05,6.22304e+03,4.25098e+05,1.50761e-01 
1.10000e+06,5.75000e+02,4.00000e-01,2.88435e+02,5.93942e+05,6.43282e+03,4.28092e+05,1.50773e-01 
1.10000e+06,5.75000e+02,5.00000e-01,2.88457e+02,5.96910e+05,6.60552e+03,4.31047e+05,1.50785e-01 
1.10000e+06,5.75000e+02,6.00000e-01,2.88479e+02,5.99839e+05,6.74265e+03,4.33964e+05,1.50796e-01 
1.10000e+06,5.75000e+02,7.00000e-01,2.88499e+02,6.02731e+05,6.84562e+03,4.36844e+05,1.50807e-01 
1.10000e+06,5.75000e+02,8.00000e-01,2.88519e+02,6.05585e+05,6.91579e+03,4.39687e+05,1.50817e-01 
1.10000e+06,5.75000e+02,9.00000e-01,2.88539e+02,6.08404e+05,6.95448e+03,4.42494e+05,1.50827e-01 
1.10000e+06,5.75000e+02,1.00000e+00,2.88558e+02,6.11187e+05,6.96293e+03,4.45266e+05,1.50837e-01 
1.10000e+06,5.75000e+02,1.10000e+00,2.88576e+02,6.13935e+05,6.94237e+03,4.48004e+05,1.50847e-01 
1.10000e+06,5.75000e+02,1.20000e+00,2.88594e+02,6.16649e+05,6.89394e+03,4.50707e+05,1.50856e-01 
1.10000e+06,6.75000e+02,0.00000e+00,2.88397e+02,6.87824e+05,5.52634e+03,4.93156e+05,1.76971e-01 
1.10000e+06,6.75000e+02,1.00000e-01,2.88440e+02,6.91981e+05,5.85846e+03,4.97284e+05,1.76998e-01 
1.10000e+06,6.75000e+02,2.00000e-01,2.88483e+02,6.96084e+05,6.14866e+03,5.01358e+05,1.77024e-01 
1.10000e+06,6.75000e+02,3.00000e-01,2.88526e+02,7.00133e+05,6.39861e+03,5.05378e+05,1.77050e-01 
1.10000e+06,6.75000e+02,4.00000e-01,2.88567e+02,7.04130e+05,6.60994e+03,5.09347e+05,1.77075e-01 
1.10000e+06,6.75000e+02,5.00000e-01,2.88608e+02,7.08075e+05,6.78418e+03,5.13265e+05,1.77100e-01 
1.10000e+06,6.75000e+02,6.00000e-01,2.88648e+02,7.11969e+05,6.92282e+03,5.17132e+05,1.77125e-01 
1.10000e+06,6.75000e+02,7.00000e-01,2.88687e+02,7.15814e+05,7.02729e+03,5.20950e+05,1.77149e-01 
1.10000e+06,6.75000e+02,8.00000e-01,2.88726e+02,7.19610e+05,7.09894e+03,5.24721e+05,1.77173e-01 
1.10000e+06,6.75000e+02,9.00000e-01,2.88764e+02,7.23359e+05,7.13908e+03,5.28444e+05,1.77196e-01 
1.10000e+06,6.75000e+02,1.00000e+00,2.88801e+02,7.27061e+05,7.14898e+03,5.32120e+05,1.77219e-01 
1.10000e+06,6.75000e+02,1.10000e+00,2.88838e+02,7.30717e+05,7.12984e+03,5.35751e+05,1.77241e-01 
1.10000e+06,6.75000e+02,1.20000e+00,2.88874e+02,7.34327e+05,7.08282e+03,5.39337e+05,1.77263e-01 
1.10000e+06,7.75000e+02,0.00000e+00,2.88384e+02,7.95946e+05,5.67677e+03,5.72448e+05,2.03180e-01 
1.10000e+06,7.75000e+02,1.00000e-01,2.88439e+02,8.01221e+05,6.01041e+03,5.77681e+05,2.03218e-01 
1.10000e+06,7.75000e+02,2.00000e-01,2.88493e+02,8.06427e+05,6.30210e+03,5.82845e+05,2.03256e-01 
1.10000e+06,7.75000e+02,3.00000e-01,2.88546e+02,8.11565e+05,6.55354e+03,5.87942e+05,2.03294e-01 
1.10000e+06,7.75000e+02,4.00000e-01,2.88598e+02,8.16637e+05,6.76632e+03,5.92973e+05,2.03330e-01 
1.10000e+06,7.75000e+02,5.00000e-01,2.88649e+02,8.21644e+05,6.94200e+03,5.97940e+05,2.03367e-01 
1.10000e+06,7.75000e+02,6.00000e-01,2.88700e+02,8.26586e+05,7.08206e+03,6.02844e+05,2.03402e-01 
1.10000e+06,7.75000e+02,7.00000e-01,2.88750e+02,8.31466e+05,7.18793e+03,6.07685e+05,2.03437e-01 
1.10000e+06,7.75000e+02,8.00000e-01,2.88799e+02,8.36285e+05,7.26096e+03,6.12466e+05,2.03472e-01 
1.10000e+06,7.75000e+02,9.00000e-01,2.88847e+02,8.41043e+05,7.30248e+03,6.17186e+05,2.03506e-01 
1.10000e+06,7.75000e+02,1.00000e+00,2.88895e+02,8.45742e+05,7.31373e+03,6.21848e+05,2.03540e-01 
1.10000e+06,7.75000e+02,1.10000e+00,2.88942e+02,8.50382e+05,7.29592e+03,6.26452e+05,2.03573e-01 
1.10000e+06,7.75000e+02,1.20000e+00,2.88988e+02,8.54966e+05,7.25022e+03,6.31000e+05,2.03605e-01 
1.10000e+06,8.75000e+02,0.00000e+00,2.88344e+02,9.06112e+05,5.81223e+03,6.53811e+05,2.29365e-01 
1.10000e+06,8.75000e+02,1.00000e-01,2.88405e+02,9.12586e+05,6.14730e+03,6.60231e+05,2.29413e-01 
1.10000e+06,8.75000e+02,2.00000e-01,2.88466e+02,9.18975e+05,6.44041e+03,6.66568e+05,2.29461e-01 
1.10000e+06,8.75000e+02,3.00000e-01,2.88525e+02,9.25281e+05,6.69324e+03,6.72822e+05,2.29509e-01 
1.10000e+06,8.75000e+02,4.00000e-01,2.88584e+02,9.31506e+05,6.90741e+03,6.78995e+05,2.29555e-01 
1.10000e+06,8.75000e+02,5.00000e-01,2.88642e+02,9.37651e+05,7.08445e+03,6.85089e+05,2.29601e-01 
1.10000e+06,8.75000e+02,6.00000e-01,2.88699e+02,9.43717e+05,7.22586e+03,6.91106e+05,2.29647e-01 
1.10000e+06,8.75000e+02,7.00000e-01,2.88755e+02,9.49707e+05,7.33305e+03,6.97046e+05,2.29691e-01 
1.10000e+06,8.75000e+02,8.00000e-01,2.88810e+02,9.55621e+05,7.40740e+03,7.02912e+05,2.29735e-01 
1.10000e+06,8.75000e+02,9.00000e-01,2.88865e+02,9.61461e+05,7.45021e+03,7.08705e+05,2.29779e-01 
1.10000e+06,8.75000e+02,1.00000e+00,2.88919e+02,9.67229e+05,7.46274e+03,7.14425e+05,2.29822e-01 
1.10000e+06,8.75000e+02,1.10000e+00,2.88972e+02,9.72926e+05,7.44620e+03,7.20075e+05,2.29864e-01 
1.10000e+06,8.75000e+02,1.20000e+00,2.89025e+02,9.78552e+05,7.40175e+03,7.25656e+05,2.29906e-01 
1.10000e+06,9.75000e+02,0.00000e+00,2.88293e+02,1.01832e+06,5.93641e+03,7.37230e+05,2.55532e-01 
1.10000e+06,9.75000e+02,1.00000e-01,2.88358e+02,1.02606e+06,6.27285e+03,7.44912e+05,2.55590e-01 
1.10000e+06,9.75000e+02,2.00000e-01,2.88423e+02,1.03371e+06,6.56730e+03,7.52494e+05,2.55647e-01 
1.10000e+06,9.75000e+02,3.00000e-01,2.88486e+02,1.04125e+06,6.82147e+03,7.59978e+05,2.55704e-01 
1.10000e+06,9.75000e+02,4.00000e-01,2.88549e+02,1.04870e+06,7.03694e+03,7.67365e+05,2.55759e-01 
1.10000e+06,9.75000e+02,5.00000e-01,2.88611e+02,1.05605e+06,7.21528e+03,7.74658e+05,2.55814e-01 
1.10000e+06,9.75000e+02,6.00000e-01,2.88672e+02,1.06331e+06,7.35797e+03,7.81857e+05,2.55868e-01 
1.10000e+06,9.75000e+02,7.00000e-01,2.88732e+02,1.07048e+06,7.46643e+03,7.88966e+05,2.55922e-01 
1.10000e+06,9.75000e+02,8.00000e-01,2.88792e+02,1.07756e+06,7.54202e+03,7.95985e+05,2.55974e-01 
1.10000e+06,9.75000e+02,9.00000e-01,2.88850e+02,1.08455e+06,7.58607e+03,8.02917e+05,2.56026e-01 
1.10000e+06,9.75000e+02,1.00000e+00,2.88908e+02,1.09145e+06,7.59981e+03,8.09762e+05,2.56078e-01 
1.10000e+06,9.75000e+02,1.10000e+00,2.88965e+02,1.09826e+06,7.58448e+03,8.16524e+05,2.56128e-01 
1.10000e+06,9.75000e+02,1.20000e+00,2.89021e+02,1.10500e+06,7.54121e+03,8.23202e+05,2.56178e-01 
1.10000e+06,1.07500e+03,0.00000e+00,2.88239e+02,1.13249e+06,6.05202e+03,8.22633e+05,2.81688e-01 
1.10000e+06,1.07500e+03,1.00000e-01,2.88307e+02,1.14158e+06,6.38976e+03,8.31645e+05,2.81754e-01 
1.10000e+06,1.07500e+03,2.00000e-01,2.88374e+02,1.15054e+06,6.68551e+03,8.40540e+05,2.81820e-01 
1.10000e+06,1.07500e+03,3.00000e-01,2.88440e+02,1.15939e+06,6.94094e+03,8.49319e+05,2.81885e-01 
1.10000e+06,1.07500e+03,4.00000e-01,2.88506e+02,1.16813e+06,7.15768e+03,8.57985e+05,2.81949e-01 
1.10000e+06,1.07500e+03,5.00000e-01,2.88570e+02,1.17675e+06,7.33726e+03,8.66541e+05,2.82012e-01 
1.10000e+06,1.07500e+03,6.00000e-01,2.88634e+02,1.18527e+06,7.48117e+03,8.74987e+05,2.82074e-01 
1.10000e+06,1.07500e+03,7.00000e-01,2.88697e+02,1.19368e+06,7.59083e+03,8.83326e+05,2.82135e-01 
1.10000e+06,1.07500e+03,8.00000e-01,2.88759e+02,1.20198e+06,7.66762e+03,8.91561e+05,2.82196e-01 
1.10000e+06,1.07500e+03,9.00000e-01,2.88820e+02,1.21017e+06,7.71284e+03,8.99693e+05,2.82256e-01 
1.10000e+06,1.07500e+03,1.00000e+00,2.88880e+02,1.21827e+06,7.72775e+03,9.07724e+05,2.82315e-01 
1.10000e+06,1.07500e+03,1.10000e+00,2.88940e+02,1.22627e+06,7.71356e+03,9.15656e+05,2.82373e-01 
1.10000e+06,1.07500e+03,1.20000e+00,2.88998e+02,1.23416e+06,7.67143e+03,9.23491e+05,2.82430e-01 
1.10000e+06,1.17500e+03,0.00000e+00,2.88185e+02,1.24852e+06,6.16122e+03,9.09906e+05,3.07834e-01 
1.10000e+06,1.17500e+03,1.00000e-01,2.88255e+02,1.25901e+06,6.50021e+03,9.20311e+05,3.07909e-01 
1.10000e+06,1.17500e+03,2.00000e-01,2.88324e+02,1.26936e+06,6.79719e+03,9.30579e+05,3.07983e-01 
1.10000e+06,1.17500e+03,3.00000e-01,2.88392e+02,1.27958e+06,7.05384e+03,9.40715e+05,3.08055e-01 
1.10000e+06,1.17500e+03,4.00000e-01,2.88459e+02,1.28966e+06,7.27177e+03,9.50720e+05,3.08127e-01 
1.10000e+06,1.17500e+03,5.00000e-01,2.88526e+02,1.29961e+06,7.45254e+03,9.60597e+05,3.08198e-01 
1.10000e+06,1.17500e+03,6.00000e-01,2.88591e+02,1.30944e+06,7.59762e+03,9.70348e+05,3.08268e-01 
1.10000e+06,1.17500e+03,7.00000e-01,2.88655e+02,1.31915e+06,7.70845e+03,9.79976e+05,3.08336e-01 
1.10000e+06,1.17500e+03,8.00000e-01,2.88719e+02,1.32873e+06,7.78637e+03,9.89483e+05,3.08404e-01 
1.10000e+06,1.17500e+03,9.00000e-01,2.88782e+02,1.33819e+06,7.83272e+03,9.98871e+05,3.08472e-01 
1.10000e+06,1.17500e+03,1.00000e+00,2.88844e+02,1.34753e+06,7.84875e+03,1.00814e+06,3.08538e-01 
1.10000e+06,1.17500e+03,1.10000e+00,2.88905e+02,1.35676e+06,7.83566e+03,1.01730e+06,3.08603e-01 
1.10000e+06,1.17500e+03,1.20000e+00,2.88965e+02,1.36588e+06,7.79461e+03,1.02635e+06,3.08668e-01 
1.10000e+06,1.27500e+03,0.00000e+00,2.88134e+02,1.36628e+06,6.26580e+03,9.98908e+05,3.33974e-01 
1.10000e+06,1.27500e+03,1.00000e-01,2.88206e+02,1.37822e+06,6.60599e+03,1.01076e+06,3.34056e-01 
1.10000e+06,1.27500e+03,2.00000e-01,2.88276e+02,1.39001e+06,6.90416e+03,1.02246e+06,3.34138e-01 
1.10000e+06,1.27500e+03,3.00000e-01,2.88345e+02,1.40165e+06,7.16198e+03,1.03401e+06,3.34218e-01 
1.10000e+06,1.27500e+03,4.00000e-01,2.88413e+02,1.41313e+06,7.38106e+03,1.04541e+06,3.34297e-01 
1.10000e+06,1.27500e+03,5.00000e-01,2.88480e+02,1.42447e+06,7.56297e+03,1.05666e+06,3.34375e-01 
1.10000e+06,1.27500e+03,6.00000e-01,2.88547e+02,1.43567e+06,7.70918e+03,1.06777e+06,3.34452e-01 
1.10000e+06,1.27500e+03,7.00000e-01,2.88613e+02,1.44672e+06,7.82111e+03,1.07874e+06,3.34528e-01 
1.10000e+06,1.27500e+03,8.00000e-01,2.88677e+02,1.45763e+06,7.90013e+03,1.08957e+06,3.34603e-01 
1.10000e+06,1.27500e+03,9.00000e-01,2.88741e+02,1.46841e+06,7.94756e+03,1.10027e+06,3.34677e-01 
1.10000e+06,1.27500e+03,1.00000e+00,2.88804e+02,1.47906e+06,7.96466e+03,1.11083e+06,3.34750e-01 
1.10000e+06,1.27500e+03,1.10000e+00,2.88867e+02,1.48957e+06,7.95262e+03,1.12126e+06,3.34823e-01 
1.10000e+06,1.27500e+03,1.20000e+00,2.88928e+02,1.49995e+06,7.91262e+03,1.13157e+06,3.34894e-01 
1.10000e+06,1.37500e+03,0.00000e+00,2.88087e+02,1.48560e+06,6.36739e+03,1.08948e+06,3.60108e-01 
1.10000e+06,1.37500e+03,1.00000e-01,2.88158e+02,1.49905e+06,6.70873e+03,1.10283e+06,3.60198e-01 
1.10000e+06,1.37500e+03,2.00000e-01,2.88229e+02,1.51233e+06,7.00804e+03,1.11601e+06,3.60287e-01 
1.10000e+06,1.37500e+03,3.00000e-01,2.88299e+02,1.52544e+06,7.26698e+03,1.12902e+06,3.60374e-01 
1.10000e+06,1.37500e+03,4.00000e-01,2.88368e+02,1.53837e+06,7.48717e+03,1.14187e+06,3.60460e-01 
1.10000e+06,1.37500e+03,5.00000e-01,2.88436e+02,1.55115e+06,7.67017e+03,1.15455e+06,3.60546e-01 
1.10000e+06,1.37500e+03,6.00000e-01,2.88504e+02,1.56376e+06,7.81746e+03,1.16706e+06,3.60630e-01 
1.10000e+06,1.37500e+03,7.00000e-01,2.88570e+02,1.57621e+06,7.93046e+03,1.17942e+06,3.60713e-01 
1.10000e+06,1.37500e+03,8.00000e-01,2.88635e+02,1.58850e+06,8.01054e+03,1.19163e+06,3.60794e-01 
1.10000e+06,1.37500e+03,9.00000e-01,2.88700e+02,1.60064e+06,8.05901e+03,1.20368e+06,3.60875e-01 
1.10000e+06,1.37500e+03,1.00000e+00,2.88764e+02,1.61263e+06,8.07713e+03,1.21558e+06,3.60955e-01 
1.10000e+06,1.37500e+03,1.10000e+00,2.88827e+02,1.62448e+06,8.06611e+03,1.22734e+06,3.61034e-01 
1.10000e+06,1.37500e+03,1.20000e+00,2.88889e+02,1.63617e+06,8.02711e+03,1.23895e+06,3.61111e-01 
1.10000e+06,1.47500e+03,0.00000e+00,2.88042e+02,1.60630e+06,6.46751e+03,1.18144e+06,3.86238e-01 
1.10000e+06,1.47500e+03,1.00000e-01,2.88114e+02,1.62132e+06,6.80996e+03,1.19635e+06,3.86335e-01 
1.10000e+06,1.47500e+03,2.00000e-01,2.88186e+02,1.63614e+06,7.11036e+03,1.21106e+06,3.86431e-01 
1.10000e+06,1.47500e+03,3.00000e-01,2.88256e+02,1.65076e+06,7.37038e+03,1.22558e+06,3.86526e-01 
1.10000e+06,1.47500e+03,4.00000e-01,2.88326e+02,1.66520e+06,7.59165e+03,1.23992e+06,3.86619e-01 
1.10000e+06,1.47500e+03,5.00000e-01,2.88394e+02,1.67945e+06,7.77570e+03,1.25407e+06,3.86711e-01 
1.10000e+06,1.47500e+03,6.00000e-01,2.88462e+02,1.69352e+06,7.92402e+03,1.26804e+06,3.86801e-01 
1.10000e+06,1.47500e+03,7.00000e-01,2.88529e+02,1.70742e+06,8.03805e+03,1.28184e+06,3.86891e-01 
1.10000e+06,1.47500e+03,8.00000e-01,2.88595e+02,1.72114e+06,8.11914e+03,1.29546e+06,3.86979e-01 
1.10000e+06,1.47500e+03,9.00000e-01,2.88660e+02,1.73468e+06,8.16861e+03,1.30891e+06,3.87067e-01 
1.10000e+06,1.47500e+03,1.00000e+00,2.88724e+02,1.74806e+06,8.18772e+03,1.32220e+06,3.87153e-01 
1.10000e+06,1.47500e+03,1.10000e+00,2.88788e+02,1.76128e+06,8.17768e+03,1.33532e+06,3.87238e-01 
1.10000e+06,1.47500e+03,1.20000e+00,2.88850e+02,1.77433e+06,8.13965e+03,1.34828e+06,3.87322e-01 
1.10000e+06,1.57500e+03,0.00000e+00,2.88001e+02,1.72823e+06,6.56766e+03,1.27463e+06,4.12365e-01 
1.10000e+06,1.57500e+03,1.00000e-01,2.88074e+02,1.74485e+06,6.91118e+03,1.29113e+06,4.12469e-01 
1.10000e+06,1.57500e+03,2.00000e-01,2.88145e+02,1.76125e+06,7.21263e+03,1.30742e+06,4.12572e-01 
1.10000e+06,1.57500e+03,3.00000e-01,2.88216e+02,1.77744e+06,7.47370e+03,1.32350e+06,4.12673e-01 
1.10000e+06,1.57500e+03,4.00000e-01,2.88286e+02,1.79342e+06,7.69599e+03,1.33937e+06,4.12773e-01 
1.10000e+06,1.57500e+03,5.00000e-01,2.88355e+02,1.80920e+06,7.88105e+03,1.35504e+06,4.12871e-01 
1.10000e+06,1.57500e+03,6.00000e-01,2.88423e+02,1.82477e+06,8.03038e+03,1.37051e+06,4.12969e-01 
